ID,Name,Subname,Generation,Sprite,Icon Locations,Tier,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Group 1,Egg Group 2,HP,ATK,DEF,SPA,SPD,SPE,BST,Size,Weight,Gender Ratio,Color,Link
7,Squirtle,None,1,https://play.pokemonshowdown.com/sprites/gen5/squirtle.png,-280px 0px;,LC,WATER,None,Torrent,None,Rain Dish,None,Monster,Water 1,44,48,65,50,64,43,314,0.5 m,9 kg,87.5% male  12.5% female,Blue,https://dex.pokemonshowdown.com/pokemon/squirtle
8,Wartortle,None,1,https://play.pokemonshowdown.com/sprites/gen5/wartortle.png,-320px 0px;,NFE,WATER,None,Torrent,None,Rain Dish,None,Monster,Water 1,59,63,80,65,80,58,405,1 m,22.5 kg,87.5% male  12.5% female,Blue,https://dex.pokemonshowdown.com/pokemon/wartortle
9,Blastoise,None,1,https://play.pokemonshowdown.com/sprites/gen5/blastoise.png,-360px 0px;,UU,WATER,None,Torrent,None,Rain Dish,None,Monster,Water 1,79,83,100,85,105,78,530,1.6 m,85.5 kg,87.5% male  12.5% female,Blue,https://dex.pokemonshowdown.com/pokemon/blastoise
9,Blastoise,Mega,1,https://play.pokemonshowdown.com/sprites/gen5/blastoise-mega.png,-120px -2760px;,Illegal,WATER,None,Mega Launcher,None,None,None,Monster,Water 1,79,103,120,135,115,78,630,1.6 m,101.1 kg,87.5% male  12.5% female,Blue,https://dex.pokemonshowdown.com/pokemon/blastoisemega
10,Caterpie,None,1,https://play.pokemonshowdown.com/sprites/gen5/caterpie.png,-400px 0px;,LC,BUG,None,Shield Dust,None,Run Away,None,Bug,None,45,30,35,20,20,45,195,0.3 m,2.9 kg,50% male  50% female,Green,https://dex.pokemonshowdown.com/pokemon/caterpie
11,Metapod,None,1,https://play.pokemonshowdown.com/sprites/gen5/metapod.png,-440px 0px;,NFE,BUG,None,Shed Skin,None,None,None,Bug,None,50,20,55,25,25,30,205,0.7 m,9.9 kg,50% male  50% female,Green,https://dex.pokemonshowdown.com/pokemon/metapod
12,Butterfree,None,1,https://play.pokemonshowdown.com/sprites/gen5/butterfree.png,0px -30px;,NU,BUG,FLYING,Compound Eyes,None,Tinted Lens,None,Bug,None,60,45,50,90,80,70,395,1.1 m,32 kg,50% male  50% female,White,https://dex.pokemonshowdown.com/pokemon/butterfree
12,Butterfree,Gmax,1,https://play.pokemonshowdown.com/sprites/gen5/butterfree-gmax.png,-120px -2880px;,(Uber),BUG,FLYING,Compound Eyes,None,Tinted Lens,None,Bug,None,60,45,50,90,80,70,395,17 m,0 kg,50% male  50% female,White,https://dex.pokemonshowdown.com/pokemon/butterfreegmax
13,Weedle,None,1,https://play.pokemonshowdown.com/sprites/gen5/weedle.png,-40px -30px;,Illegal,BUG,POISON,Shield Dust,None,Run Away,None,Bug,None,40,35,30,20,20,50,195,0.3 m,3.2 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/weedle
14,Kakuna,None,1,https://play.pokemonshowdown.com/sprites/gen5/kakuna.png,-80px -30px;,Illegal,BUG,POISON,Shed Skin,None,None,None,Bug,None,45,25,50,25,25,35,205,0.6 m,10 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/kakuna
15,Beedrill,None,1,https://play.pokemonshowdown.com/sprites/gen5/beedrill.png,-120px -30px;,Illegal,BUG,POISON,Swarm,None,Sniper,None,Bug,None,65,90,40,45,80,75,395,1 m,29.5 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/beedrill
15,Beedrill,Mega,1,https://play.pokemonshowdown.com/sprites/gen5/beedrill-mega.png,-160px -2760px;,Illegal,BUG,POISON,Adaptability,None,None,None,Bug,None,65,150,40,15,80,145,495,1.4 m,40.5 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/beedrillmega
16,Pidgey,None,1,https://play.pokemonshowdown.com/sprites/gen5/pidgey.png,-160px -30px;,Illegal,NORMAL,FLYING,Keen Eye,Tangled Feet,Big Pecks,None,Flying,None,40,45,40,35,35,56,251,0.3 m,1.8 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/pidgey
17,Pidgeotto,None,1,https://play.pokemonshowdown.com/sprites/gen5/pidgeotto.png,-200px -30px;,Illegal,NORMAL,FLYING,Keen Eye,Tangled Feet,Big Pecks,None,Flying,None,63,60,55,50,50,71,349,1.1 m,30 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/pidgeotto
18,Pidgeot,None,1,https://play.pokemonshowdown.com/sprites/gen5/pidgeot.png,-240px -30px;,Illegal,NORMAL,FLYING,Keen Eye,Tangled Feet,Big Pecks,None,Flying,None,83,80,75,70,70,101,479,1.5 m,39.5 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/pidgeot
18,Pidgeot,Mega,1,https://play.pokemonshowdown.com/sprites/gen5/pidgeot-mega.png,-200px -2760px;,Illegal,NORMAL,FLYING,No Guard,None,None,None,Flying,None,83,80,80,135,80,121,579,2.2 m,50.5 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/pidgeotmega
19,Rattata,None,1,https://play.pokemonshowdown.com/sprites/gen5/rattata.png,-280px -30px;,Illegal,NORMAL,None,Run Away,Guts,Hustle,None,Field,None,30,56,35,25,35,72,253,0.3 m,3.5 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/rattata
19,Rattata,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/rattata-alola.png,-440px -2520px;,Illegal,DARK,NORMAL,Gluttony,Hustle,Thick Fat,None,Field,None,30,56,35,25,35,72,253,0.3 m,3.8 kg,50% male  50% female,Black,https://dex.pokemonshowdown.com/pokemon/rattataalola
20,Raticate,None,1,https://play.pokemonshowdown.com/sprites/gen5/raticate.png,-320px -30px;,Illegal,NORMAL,None,Run Away,Guts,Hustle,None,Field,None,55,81,60,50,70,97,413,0.7 m,18.5 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/raticate
20,Raticate,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/raticate-alola.png,0px -2550px;,Illegal,DARK,NORMAL,Gluttony,Hustle,Thick Fat,None,Field,None,75,71,70,40,80,77,413,0.7 m,25.5 kg,50% male  50% female,Black,https://dex.pokemonshowdown.com/pokemon/raticatealola
20,Raticate,Alola-Totem,1,https://play.pokemonshowdown.com/sprites/gen5/raticate-alola.png,0px -2550px;,Illegal,DARK,NORMAL,Thick Fat,None,None,None,Field,None,75,71,70,40,80,77,413,1.4 m,105 kg,50% male  50% female,Black,https://dex.pokemonshowdown.com/pokemon/raticatealolatotem
21,Spearow,None,1,https://play.pokemonshowdown.com/sprites/gen5/spearow.png,-360px -30px;,Illegal,NORMAL,FLYING,Keen Eye,None,Sniper,None,Flying,None,40,60,30,31,31,70,262,0.3 m,2 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/spearow
22,Fearow,None,1,https://play.pokemonshowdown.com/sprites/gen5/fearow.png,-400px -30px;,Illegal,NORMAL,FLYING,Keen Eye,None,Sniper,None,Flying,None,65,90,65,61,61,100,442,1.2 m,38 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/fearow
23,Ekans,None,1,https://play.pokemonshowdown.com/sprites/gen5/ekans.png,-440px -30px;,Illegal,POISON,None,Intimidate,Shed Skin,Unnerve,None,Field,Dragon,35,60,44,40,54,55,288,2 m,6.9 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/ekans
24,Arbok,None,1,https://play.pokemonshowdown.com/sprites/gen5/arbok.png,0px -60px;,Illegal,POISON,None,Intimidate,Shed Skin,Unnerve,None,Field,Dragon,60,95,69,65,79,80,448,3.5 m,65 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/arbok
25,Pikachu,None,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu.png,-40px -60px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Field,Fairy,35,55,40,50,50,90,320,0.4 m,6 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachu
25,Pikachu,Rock-Star,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-rockstar.png,-240px -2250px;,Illegal,ELECTRIC,None,Lightning Rod,None,None,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachurockstar
25,Pikachu,Belle,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-belle.png,-80px -2250px;,Illegal,ELECTRIC,None,Lightning Rod,None,None,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachubelle
25,Pikachu,Pop-Star,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-popstar.png,-200px -2250px;,Illegal,ELECTRIC,None,Lightning Rod,None,None,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachupopstar
25,Pikachu,PhD,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-phd.png,-160px -2250px;,Illegal,ELECTRIC,None,Lightning Rod,None,None,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachuphd
25,Pikachu,Libre,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-libre.png,-120px -2250px;,Illegal,ELECTRIC,None,Lightning Rod,None,None,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachulibre
25,Pikachu,Original,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-original.png,-360px -2610px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachuoriginal
25,Pikachu,Hoenn,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-hoenn.png,-400px -2610px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachuhoenn
25,Pikachu,Sinnoh,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-sinnoh.png,-440px -2610px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachusinnoh
25,Pikachu,Unova,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-unova.png,0px -2640px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachuunova
25,Pikachu,Kalos,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-kalos.png,-40px -2640px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachukalos
25,Pikachu,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-alola.png,-80px -2640px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachualola
25,Pikachu,Partner,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-partner.png,-120px -2640px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,35,55,40,50,50,90,320,0.4 m,6 kg,100% male,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachupartner
25,Pikachu,Starter,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-starter.png,-320px -2640px;,Illegal,ELECTRIC,None,Static,None,Lightning Rod,None,Undiscovered,None,45,80,50,75,60,120,430,0.4 m,6 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachustarter
25,Pikachu,Gmax,1,https://play.pokemonshowdown.com/sprites/gen5/pikachu-gmax.png,-160px -2880px;,(Uber),ELECTRIC,None,Static,None,Lightning Rod,None,Field,Fairy,35,55,40,50,50,90,320,21 m,0 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/pikachugmax
26,Raichu,None,1,https://play.pokemonshowdown.com/sprites/gen5/raichu.png,-80px -60px;,PU,ELECTRIC,None,Static,None,Lightning Rod,None,Field,Fairy,60,90,55,90,80,110,485,0.8 m,30 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/raichu
26,Raichu,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/raichu-alola.png,-40px -2550px;,RU,ELECTRIC,PSYCHIC,Surge Surfer,None,None,None,Field,Fairy,60,85,50,95,85,110,485,0.7 m,21 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/raichualola
27,Sandshrew,None,1,https://play.pokemonshowdown.com/sprites/gen5/sandshrew.png,-120px -60px;,Illegal,GROUND,None,Sand Veil,None,Sand Rush,None,Field,None,50,75,85,20,30,40,300,0.6 m,12 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/sandshrew
27,Sandshrew,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/sandshrew-alola.png,-80px -2550px;,Illegal,ICE,STEEL,Snow Cloak,None,Slush Rush,None,Field,None,50,75,90,10,35,40,300,0.7 m,40 kg,50% male  50% female,White,https://dex.pokemonshowdown.com/pokemon/sandshrewalola
28,Sandslash,None,1,https://play.pokemonshowdown.com/sprites/gen5/sandslash.png,-160px -60px;,Illegal,GROUND,None,Sand Veil,None,Sand Rush,None,Field,None,75,100,110,45,55,65,450,1 m,29.5 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/sandslash
28,Sandslash,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/sandslash-alola.png,-120px -2550px;,Illegal,ICE,STEEL,Snow Cloak,None,Slush Rush,None,Field,None,75,100,120,25,65,65,450,1.2 m,55 kg,50% male  50% female,Blue,https://dex.pokemonshowdown.com/pokemon/sandslashalola
29,Nidoran,F,1,https://play.pokemonshowdown.com/sprites/gen5/nidoranf.png,-200px -60px;,Illegal,POISON,None,Poison Point,Rivalry,Hustle,None,Monster,Field,55,47,52,40,40,41,275,0.4 m,7 kg,100% female,Blue,https://dex.pokemonshowdown.com/pokemon/nidoranf
30,Nidorina,None,1,https://play.pokemonshowdown.com/sprites/gen5/nidorina.png,-240px -60px;,Illegal,POISON,None,Poison Point,Rivalry,Hustle,None,Undiscovered,None,70,62,67,55,55,56,365,0.8 m,20 kg,100% female,Blue,https://dex.pokemonshowdown.com/pokemon/nidorina
31,Nidoqueen,None,1,https://play.pokemonshowdown.com/sprites/gen5/nidoqueen.png,-280px -60px;,Illegal,POISON,GROUND,Poison Point,Rivalry,Sheer Force,None,Undiscovered,None,90,92,87,75,85,76,505,1.3 m,60 kg,100% female,Blue,https://dex.pokemonshowdown.com/pokemon/nidoqueen
32,Nidoran,M,1,https://play.pokemonshowdown.com/sprites/gen5/nidoranm.png,-320px -60px;,Illegal,POISON,None,Poison Point,Rivalry,Hustle,None,Monster,Field,46,57,40,40,40,50,273,0.5 m,9 kg,100% male,Purple,https://dex.pokemonshowdown.com/pokemon/nidoranm
33,Nidorino,None,1,https://play.pokemonshowdown.com/sprites/gen5/nidorino.png,-360px -60px;,Illegal,POISON,None,Poison Point,Rivalry,Hustle,None,Monster,Field,61,72,57,55,55,65,365,0.9 m,19.5 kg,100% male,Purple,https://dex.pokemonshowdown.com/pokemon/nidorino
34,Nidoking,None,1,https://play.pokemonshowdown.com/sprites/gen5/nidoking.png,-400px -60px;,Illegal,POISON,GROUND,Poison Point,Rivalry,Sheer Force,None,Monster,Field,81,102,77,85,75,85,505,1.4 m,62 kg,100% male,Purple,https://dex.pokemonshowdown.com/pokemon/nidoking
35,Clefairy,None,1,https://play.pokemonshowdown.com/sprites/gen5/clefairy.png,-440px -60px;,NU,FAIRY,None,Cute Charm,Magic Guard,Friend Guard,None,Fairy,None,70,45,48,60,65,35,323,0.6 m,7.5 kg,25% male  75% female,Pink,https://dex.pokemonshowdown.com/pokemon/clefairy
36,Clefable,None,1,https://play.pokemonshowdown.com/sprites/gen5/clefable.png,0px -90px;,OU,FAIRY,None,Cute Charm,Magic Guard,Unaware,None,Fairy,None,95,70,73,95,90,60,483,1.3 m,40 kg,25% male  75% female,Pink,https://dex.pokemonshowdown.com/pokemon/clefable
37,Vulpix,None,1,https://play.pokemonshowdown.com/sprites/gen5/vulpix.png,-40px -90px;,LC Uber,FIRE,None,Flash Fire,None,Drought,None,Field,None,38,41,40,50,65,65,299,0.6 m,9.9 kg,25% male  75% female,Brown,https://dex.pokemonshowdown.com/pokemon/vulpix
37,Vulpix,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/vulpix-alola.png,-160px -2550px;,LC Uber,ICE,None,Snow Cloak,None,Snow Warning,None,Field,None,38,41,40,50,65,65,299,0.6 m,9.9 kg,25% male  75% female,White,https://dex.pokemonshowdown.com/pokemon/vulpixalola
38,Ninetales,None,1,https://play.pokemonshowdown.com/sprites/gen5/ninetales.png,-80px -90px;,RU,FIRE,None,Flash Fire,None,Drought,None,Field,None,73,76,75,81,100,100,505,1.1 m,19.9 kg,25% male  75% female,Yellow,https://dex.pokemonshowdown.com/pokemon/ninetales
38,Ninetales,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/ninetales-alola.png,-200px -2550px;,UUBL,ICE,FAIRY,Snow Cloak,None,Snow Warning,None,Field,None,73,67,75,81,100,109,505,1.1 m,19.9 kg,25% male  75% female,Blue,https://dex.pokemonshowdown.com/pokemon/ninetalesalola
39,Jigglypuff,None,1,https://play.pokemonshowdown.com/sprites/gen5/jigglypuff.png,-120px -90px;,Illegal,NORMAL,FAIRY,Cute Charm,Competitive,Friend Guard,None,Fairy,None,115,45,20,45,25,20,270,0.5 m,5.5 kg,25% male  75% female,Pink,https://dex.pokemonshowdown.com/pokemon/jigglypuff
40,Wigglytuff,None,1,https://play.pokemonshowdown.com/sprites/gen5/wigglytuff.png,-160px -90px;,Illegal,NORMAL,FAIRY,Cute Charm,Competitive,Frisk,None,Fairy,None,140,70,45,85,50,45,435,1 m,12 kg,25% male  75% female,Pink,https://dex.pokemonshowdown.com/pokemon/wigglytuff
41,Zubat,None,1,https://play.pokemonshowdown.com/sprites/gen5/zubat.png,-200px -90px;,Illegal,POISON,FLYING,Inner Focus,None,Infiltrator,None,Flying,None,40,45,35,30,40,55,245,0.8 m,7.5 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/zubat
42,Golbat,None,1,https://play.pokemonshowdown.com/sprites/gen5/golbat.png,-240px -90px;,Illegal,POISON,FLYING,Inner Focus,None,Infiltrator,None,Flying,None,75,80,70,65,75,90,455,1.6 m,55 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/golbat
43,Oddish,None,1,https://play.pokemonshowdown.com/sprites/gen5/oddish.png,-280px -90px;,LC,GRASS,POISON,Chlorophyll,None,Run Away,None,Grass,None,45,50,55,75,65,30,320,0.5 m,5.4 kg,50% male  50% female,Blue,https://dex.pokemonshowdown.com/pokemon/oddish
44,Gloom,None,1,https://play.pokemonshowdown.com/sprites/gen5/gloom.png,-320px -90px;,NFE,GRASS,POISON,Chlorophyll,None,Stench,None,Grass,None,60,65,70,85,75,40,395,0.8 m,8.6 kg,50% male  50% female,Blue,https://dex.pokemonshowdown.com/pokemon/gloom
45,Vileplume,None,1,https://play.pokemonshowdown.com/sprites/gen5/vileplume.png,-360px -90px;,RU,GRASS,POISON,Chlorophyll,None,Effect Spore,None,Grass,None,75,80,85,110,90,50,490,1.2 m,18.6 kg,50% male  50% female,Red,https://dex.pokemonshowdown.com/pokemon/vileplume
46,Paras,None,1,https://play.pokemonshowdown.com/sprites/gen5/paras.png,-400px -90px;,Illegal,BUG,GRASS,Effect Spore,Dry Skin,Damp,None,Bug,Grass,35,70,55,45,55,25,285,0.3 m,5.4 kg,50% male  50% female,Red,https://dex.pokemonshowdown.com/pokemon/paras
47,Parasect,None,1,https://play.pokemonshowdown.com/sprites/gen5/parasect.png,-440px -90px;,Illegal,BUG,GRASS,Effect Spore,Dry Skin,Damp,None,Bug,Grass,60,95,80,60,80,30,405,1 m,29.5 kg,50% male  50% female,Red,https://dex.pokemonshowdown.com/pokemon/parasect
48,Venonat,None,1,https://play.pokemonshowdown.com/sprites/gen5/venonat.png,0px -120px;,Illegal,BUG,POISON,Compound Eyes,Tinted Lens,Run Away,None,Bug,None,60,55,50,40,55,45,305,1 m,30 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/venonat
49,Venomoth,None,1,https://play.pokemonshowdown.com/sprites/gen5/venomoth.png,-40px -120px;,Illegal,BUG,POISON,Shield Dust,Tinted Lens,Wonder Skin,None,Bug,None,70,65,60,90,75,90,450,1.5 m,12.5 kg,50% male  50% female,Purple,https://dex.pokemonshowdown.com/pokemon/venomoth
50,Diglett,None,1,https://play.pokemonshowdown.com/sprites/gen5/diglett.png,-80px -120px;,LC,GROUND,None,Sand Veil,Arena Trap,Sand Force,None,Field,None,10,55,25,35,45,95,265,0.2 m,0.8 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/diglett
50,Diglett,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/diglett-alola.png,-240px -2550px;,LC,GROUND,STEEL,Sand Veil,Tangling Hair,Sand Force,None,Field,None,10,55,30,35,45,90,265,0.2 m,1 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/diglettalola
51,Dugtrio,None,1,https://play.pokemonshowdown.com/sprites/gen5/dugtrio.png,-120px -120px;,OU,GROUND,None,Sand Veil,Arena Trap,Sand Force,None,Field,None,35,100,50,50,70,120,425,0.7 m,33.3 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/dugtrio
51,Dugtrio,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/dugtrio-alola.png,-280px -2550px;,RU,GROUND,STEEL,Sand Veil,Tangling Hair,Sand Force,None,Field,None,35,100,60,50,70,110,425,0.7 m,66.6 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/dugtrioalola
52,Meowth,None,1,https://play.pokemonshowdown.com/sprites/gen5/meowth.png,-160px -120px;,LC,NORMAL,None,Pickup,Technician,Unnerve,None,Field,None,40,45,35,40,40,90,290,0.4 m,4.2 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/meowth
52,Meowth,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/meowth-alola.png,-320px -2550px;,LC,DARK,None,Pickup,Technician,Rattled,None,Field,None,40,35,35,50,40,90,290,0.4 m,4.2 kg,50% male  50% female,Blue,https://dex.pokemonshowdown.com/pokemon/meowthalola
52,Meowth,Galar,1,https://play.pokemonshowdown.com/sprites/gen5/meowth-galar.png,-400px -2640px;,LC,STEEL,None,Pickup,Tough Claws,Unnerve,None,Field,None,50,65,55,40,40,40,290,0.4 m,7.5 kg,50% male  50% female,Brown,https://dex.pokemonshowdown.com/pokemon/meowthgalar
52,Meowth,Gmax,1,https://play.pokemonshowdown.com/sprites/gen5/meowth-gmax.png,-200px -2880px;,(Uber),NORMAL,None,Pickup,Technician,Unnerve,None,Field,None,40,45,35,40,40,90,290,33 m,0 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/meowthgmax
53,Persian,None,1,https://play.pokemonshowdown.com/sprites/gen5/persian.png,-200px -120px;,PU,NORMAL,None,Limber,Technician,Unnerve,None,Field,None,65,70,60,65,65,115,440,1 m,32 kg,50% male  50% female,Yellow,https://dex.pokemonshowdown.com/pokemon/persian
53,Persian,Alola,1,https://play.pokemonshowdown.com/sprites/gen5/persian-alola.png,-360px -2550px;,RU,DARK,None,Fur Coat,Technician,Rattled,None,Field,None,65,60,60,75,65,115,440,1.1 m,33 kg,50% male  50% female,Blue,https://dex.pokemonshowdown.com/pokemon/persianalola
